dex,pair,fee_bps,flarescan_url,priority
enosys,FXRP/USDT0,30,https://flarescan.com/address/0x686f53F0950Ef193C887527eC027E6A574A4DbE1?chainid=14,0x686f53F0950Ef193C887527eC027E6A574A4DbE1
enosys,WFLR/USDT0,30,https://flarescan.com/address/0x3C2a7B76795E58829FAAa034486D417dd0155162?chainid=14,0x3C2a7B76795E58829FAAa034486D417dd0155162
enosys,WFLR/FXRP,30,https://flarescan.com/address/0xb4CB11a84CFbd8F6336Dc9417aC45c1F8E5B59E7?chainid=14,0xb4CB11a84CFbd8F6336Dc9417aC45c1F8E5B59E7 enosys,FXRP/APS,30,https://flarescan.com/address/0x50aA2b9E933E08F829Ee133288F761C76a4ccB5d?chainid=14,0x50aA2b9E933E08F829Ee133288F761C76a4ccB5d enosys,eUSDT/USDT0,1,https://flarescan.com/address/0xDf0BE1a98A8dE2a1861807e105089a13c6ae8212?chainid=14,0xDf0BE1a98A8dE2a1861807e105089a13c6ae8212
enosys,sFLR/WFLR,5,https://flarescan.com/address/0x25B4f3930934F0A3CbB885C624EcEe75a2917144?chainid=14,0x25B4f3930934F0A3CbB885C624EcEe75a2917144
sparkdex,FXRP/USDT0,5,https://flarescan.com/address/0x88D46717b16619B37fa2DfD2F038DEFB4459F1F7?chainid=14,address/0x88D46717b16619B37fa2DfD2F038DEFB4459F1F7
sparkdex,WFLR/USDT0,30,https://flarescan.com/address/0x2860DB7a2B33B79e59Ea450Ff43B2dC673A22D3d?chainid=14,0x2860db7a2b33b79e59ea450ff43b2dc673a22d3d
sparkdex,USDT0/USDC.e,1,https://flarescan.com/address/0x0B40111B4Cf6dD1001F36f9c631956FefA56BC3b?chainid=14,0x0B40111B4Cf6dD1001F36f9c631956FefA56BC3b
sparkdex,USDT0/cUSDX,1,https://flarescan.com/address/0x99ED6dfd982d4b3ddD726625A585A3B019523bBb?chainid=14,0x99ED6dfd982d4b3ddD726625A585A3B019523bBb
sparkdex,sFLR/WFLR,1,https://flarescan.com/address/0xc9baBa3F36ccaa54675dEECC327Ec7Eaa48CB97d?chainid=14,0xc9baBa3F36ccaa54675dEECC327Ec7Eaa48CB97d
sparkdex,WFLR/FXRP,5,https://flarescan.com/address/0x589689984a06E4640593eDec64e415c415940C7F?chainid=14,0x589689984a06E4640593eDec64e415c415940C7F
