venue,pair,token0,token1,fee_tier_bps,tvl_usd,volume_24h_usd,data_date,fees_24h_usd,incentives_24h_usd,fee_apr_24h_pct,incentives_apr_24h_pct,apr_24h_pct,apr_method
BlazeSwap (Flare),FXRP/USD₮0,FXRP,USD₮0,30,674420.0,37040.0,2025-10-30,111.12,,6.0138785919753275,,6.0138785919753275,estimated_from_fee_tier
BlazeSwap (Flare),WFLR/USD₮0,WFLR,USD₮0,30,665000.0,69000.0,2025-10-30,207.0,,11.361654135338345,,11.361654135338345,estimated_from_fee_tier
BlazeSwap (Flare),USDT/WFLR,USDT,WFLR,30,261000.0,13000.0,2025-10-30,39.0,,5.454022988505747,,5.454022988505747,estimated_from_fee_tier
Enosys V3 (Flare),USD₮0/WFLR,USD₮0,WFLR,30,1054827.07,1080000.0,2025-10-30,3240.0,,112.11316372455249,,112.11316372455249,estimated_from_fee_tier
Enosys V3 (Flare),FXRP/WFLR,FXRP,WFLR,30,712340.95,446360.0,2025-10-30,1339.08,,68.6138007368522,,68.6138007368522,estimated_from_fee_tier
Enosys V3 (Flare),APS/WFLR,APS,WFLR,30,96943.32,,2025-10-30,,,,,,NA
SparkDEX V3.1,USD₮0/USDC.e,USD₮0,USDC.e,1,47600356.71,1230000.0,2025-10-30,123.0,,0.09431652009147308,,0.09431652009147308,estimated_from_fee_tier
SparkDEX V3.1,WFLR/USD₮0,WFLR,USD₮0,5,2230000.0,3030000.0,2025-10-30,1515.0,,24.79708520179372,,24.79708520179372,estimated_from_fee_tier
SparkDEX V3.1,FXRP/USD₮0,FXRP,USD₮0,5,2160000.0,1220000.0,2025-10-30,610.0,,10.307870370370372,,10.307870370370372,estimated_from_fee_tier
SparkDEX V3.1,WETH/USD₮0,WETH,USD₮0,5,1760000.0,703830.0,2025-10-30,351.915,,7.298237215909091,,7.298237215909091,estimated_from_fee_tier
SparkDEX V3.1,FXRP/USDC.e,FXRP,USDC.e,100,168070.0,25170.0,2025-10-30,251.70000000000002,,54.662045576248,,54.662045576248,estimated_from_fee_tier
